,en,fr,es,de,ru,pl
1280,horror,,,,,
1281,horse,,,,,
1282,hospital,,,,,
1283,host,,,,,
1284,hot,,,,,
1285,hotel,,,,,
1286,hour,,,,,
1287,house,,,,,
1288,household,,,,,
1289,housing,,,,,
1290,how,,,,,
1291,however,,,,,
1292,huge,,,,,
1293,human,,,,,
1294,humorous,,,,,
1295,humour,,,,,
1296,hundred,,,,,
1297,hungry,,,,,
1298,hunt,,,,,
1299,hunting,,,,,
1300,hurricane,,,,,
1301,hurry,,,,,
1302,hurt,,,,,
1303,husband,,,,,
1304,I,,,,,
1305,ice,,,,,
1306,iceï¿½cream,,,,,
1307,idea,,,,,
1308,ideal,,,,,
1309,identify,,,,,
1310,identity,,,,,
1311,if,,,,,
1312,ignore,,,,,
1313,ill,,,,,
1314,illegal,,,,,
1315,illness,,,,,
1316,illustrate,,,,,
1317,illustration,,,,,
1318,image,,,,,
1319,imaginary,,,,,
1320,imagination,,,,,
1321,imagine,,,,,
1322,immediate,,,,,
1323,immediately,,,,,
1324,immigrant,,,,,
1325,impact,,,,,
1326,impatient,,,,,
1327,imply,,,,,
1328,import,,,,,
1329,importance,,,,,
1330,important,,,,,
1331,impose,,,,,
1332,impossible,,,,,
1333,impress,,,,,
1334,impressed,,,,,
1335,impression,,,,,
1336,impressive,,,,,
1337,improve,,,,,
1338,improvement,,,,,
1339,in,,,,,
1340,inch,,,,,
1341,incident,,,,,
1342,include,,,,,
1343,included,,,,,
1344,including,,,,,
1345,income,,,,,
1346,increase,,,,,
1347,increasingly,,,,,
1348,incredible,,,,,
1349,incredibly,,,,,
1350,indeed,,,,,
1351,independent,,,,,
1352,indicate,,,,,
1353,indirect,,,,,
1354,individual,,,,,
1355,indoor,,,,,
1356,indoors,,,,,
1357,industrial,,,,,
1358,industry,,,,,
1359,infection,,,,,
1360,influence,,,,,
1361,inform,,,,,
1362,informal,,,,,
1363,information,,,,,
1364,ingredient,,,,,
1365,initial,,,,,
1366,initially,,,,,
1367,initiative,,,,,
1368,injure,,,,,
1369,injured,,,,,
1370,injury,,,,,
1371,inner,,,,,
1372,innocent,,,,,
1373,insect,,,,,
1374,inside,,,,,
1375,insight,,,,,
1376,insist,,,,,
1377,inspire,,,,,
1378,install,,,,,
1379,instance,,,,,
1380,instead,,,,,
1381,institute,,,,,
1382,institution,,,,,
1383,instruction,,,,,
1384,instructor,,,,,
1385,instrument,,,,,
1386,insurance,,,,,
1387,intelligence,,,,,
1388,intelligent,,,,,
1389,intend,,,,,
1390,intended,,,,,
1391,intense,,,,,
1392,intention,,,,,
1393,interest,,,,,
1394,interested,,,,,
1395,interesting,,,,,
1396,internal,,,,,
1397,international,,,,,
1398,internet,,,,,
1399,interpret,,,,,
1400,interrupt,,,,,
1401,interview,,,,,
1402,into,,,,,
1403,introduce,,,,,
1404,introduction,,,,,
1405,invent,,,,,
1406,invention,,,,,
1407,invest,,,,,
1408,investigate,,,,,
1409,investigation,,,,,
1410,investment,,,,,
1411,invitation,,,,,
1412,invite,,,,,
1413,involve,,,,,
1414,involved,,,,,
1415,iron,,,,,
1416,island,,,,,
1417,issue,,,,,
1418,IT,,,,,
1419,it,,,,,
1420,item,,,,,
1421,its,,,,,
1422,itself,,,,,
1423,jacket,,,,,
1424,jam,,,,,
1425,January,,,,,
1426,jazz,,,,,
1427,jeans,,,,,
1428,jewellery,,,,,
1429,job,,,,,
1430,join,,,,,
1431,joke,,,,,
1432,journal,,,,,
1433,journalist,,,,,
1434,journey,,,,,
1435,joy,,,,,
1436,judge,,,,,
1437,judgement,,,,,
1438,juice,,,,,
1439,July,,,,,
1440,jump,,,,,
1441,June,,,,,
1442,junior,,,,,
1443,just,,,,,
1444,justice,,,,,
1445,justify,,,,,
1446,keen,,,,,
1447,keep,,,,,
1448,key,,,,,
1449,keyboard,,,,,
1450,kick,,,,,
1451,kid,,,,,
1452,kill,,,,,
1453,killing,,,,,
1454,kilometre,,,,,
1455,kind,,,,,
1456,kind,,,,,
1457,king,,,,,
1458,kiss,,,,,
1459,kitchen,,,,,
1460,knee,,,,,
1461,knife,,,,,
1462,knock,,,,,
1463,know,,,,,
1464,knowledge,,,,,
1465,lab,,,,,
1466,label,,,,,
1467,laboratory,,,,,
1468,labour,,,,,
1469,lack,,,,,
1470,lady,,,,,
1471,lake,,,,,
1472,lamp,,,,,
1473,land,,,,,
1474,landscape,,,,,
1475,language,,,,,
1476,laptop,,,,,
1477,large,,,,,
1478,largely,,,,,
1479,last1,,,,,
1480,last1,,,,,
1481,late,,,,,
1482,later,,,,,
1483,latest,,,,,
1484,laugh,,,,,
1485,laughter,,,,,
1486,launch,,,,,
1487,law,,,,,
1488,lawyer,,,,,
1489,lay,,,,,
1490,layer,,,,,
1491,lazy,,,,,
1492,lead1,,,,,
1493,leader,,,,,
1494,leadership,,,,,
1495,leading,,,,,
1496,leaf,,,,,
1497,league,,,,,
1498,lean,,,,,
1499,learn,,,,,
1500,learning,,,,,
1501,least,,,,,
1502,leather,,,,,
1503,leave,,,,,
1504,lecture,,,,,
1505,left,,,,,
1506,leg,,,,,
1507,legal,,,,,
1508,leisure,,,,,
1509,lemon,,,,,
1510,lend,,,,,
1511,length,,,,,
1512,less,,,,,
1513,lesson,,,,,
1514,let,,,,,
1515,letter,,,,,
1516,level,,,,,
1517,library,,,,,
1518,licence,,,,,
1519,lie1,,,,,
1520,lie2,,,,,
1521,life,,,,,
1522,lifestyle,,,,,
1523,lift,,,,,
1524,light,,,,,
1525,adj.,,,,,
1526,light,,,,,
1527,like,,,,,
1528,like,,,,,
1529,n.,,,,,
1530,likely,,,,,
1531,limit,,,,,
1532,limited,,,,,
1533,line,,,,,
1534,link,,,,,
1535,lion,,,,,
1536,lip,,,,,
1537,liquid,,,,,
1538,list,,,,,
1539,listen,,,,,
1540,listener,,,,,
1541,literature,,,,,
1542,little,,,,,
1543,live1,,,,,
1544,live2,,,,,
1545,lively,,,,,
1546,living,,,,,
1547,load,,,,,
1548,loan,,,,,
1549,local,,,,,
1550,locate,,,,,
1551,located,,,,,
1552,location,,,,,
1553,lock,,,,,
1554,logical,,,,,
1555,lonely,,,,,
1556,long1,,,,,
1557,long-term,,,,,
1558,look,,,,,
1559,loose,,,,,
1560,lord,,,,,
1561,lorry,,,,,
1562,lose,,,,,
1563,loss,,,,,
1564,lost,,,,,
1565,lot,,,,,
1566,loud,,,,,
1567,loudly,,,,,
1568,love,,,,,
1569,lovely,,,,,
1570,low,,,,,
1571,lower,,,,,
1572,luck,,,,,
1573,lucky,,,,,
1574,lunch,,,,,
1575,lung,,,,,
1576,luxury,,,,,
1577,machine,,,,,
1578,mad,,,,,
1579,magazine,,,,,
1580,magic,,,,,
1581,mail,,,,,
1582,main,,,,,
1583,mainly,,,,,
1584,maintain,,,,,
1585,major,,,,,
1586,majority,,,,,
1587,make,,,,,
1588,male,,,,,
1589,mall,,,,,
1590,man,,,,,
1591,manage,,,,,
1592,management,,,,,
1593,manager,,,,,
1594,manner,,,,,
1595,many,,,,,
1596,map,,,,,
1597,March,,,,,
1598,mark,,,,,
1599,market,,,,,
1600,marketing,,,,,
1601,marriage,,,,,
1602,married,,,,,
1603,marry,,,,,
1604,mass,,,,,
1605,massive,,,,,
1606,master,,,,,
1607,match,,,,,
1608,v.,,,,,
1609,matching,,,,,
1610,material,,,,,
1611,mathematics,,,,,
1612,maths,,,,,
1613,matter,,,,,
1614,maximum,,,,,
1615,May,,,,,
1616,may,,,,,
1617,maybe,,,,,
1618,me,,,,,
1619,meal,,,,,
1620,mean,,,,,
1621,meaning,,,,,
1622,means,,,,,
1623,meanwhile,,,,,
1624,measure,,,,,
1625,measurement,,,,,
1626,meat,,,,,
1627,media,,,,,
1628,medical,,,,,
1629,medicine,,,,,
1630,medium,,,,,
1631,meet,,,,,
1632,meeting,,,,,
1633,melt,,,,,
1634,member,,,,,
1635,memory,,,,,
1636,mental,,,,,
1637,mention,,,,,
1638,menu,,,,,
1639,mess,,,,,
1640,message,,,,,
1641,metal,,,,,
1642,method,,,,,
1643,metre,,,,,
1644,middle,,,,,
1645,midnight,,,,,
1646,might,,,,,
1647,mild,,,,,
1648,mile,,,,,
1649,military,,,,,
1650,milk,,,,,
1651,million,,,,,
1652,mind,,,,,
1653,mine,,,,,
1654,mine,,,,,
1655,mineral,,,,,
1656,minimum,,,,,
1657,minister,,,,,
1658,minor,,,,,
1659,minority,,,,,
1660,minute1,,,,,
1661,mirror,,,,,
1662,miss,,,,,
1663,missing,,,,,
1664,mission,,,,,
1665,mistake,,,,,
1666,mix,,,,,
1667,mixed,,,,,
1668,mixture,,,,,
1669,mobile,,,,,
1670,model,,,,,
1671,modern,,,,,
1672,modify,,,,,
1673,moment,,,,,
1674,Monday,,,,,
1675,money,,,,,
1676,monitor,,,,,
1677,monkey,,,,,
1678,month,,,,,
1679,mood,,,,,
1680,moon,,,,,
1681,moral,,,,,
1682,more,,,,,
1683,morning,,,,,
1684,most,,,,,
1685,mostly,,,,,
1686,mother,,,,,
1687,motor,,,,,
1688,motorcycle,,,,,
1689,mount,,,,,
1690,mountain,,,,,
1691,mouse,,,,,
1692,mouth,,,,,
1693,move,,,,,
1694,movement,,,,,
1695,movie,,,,,
1696,much,,,,,
1697,mud,,,,,
1698,multiple,,,,,
1699,multiply,,,,,
1700,mum,,,,,
1701,murder,,,,,
1702,muscle,,,,,
1703,museum,,,,,
1704,music,,,,,
1705,musical,,,,,
1706,musician,,,,,
1707,must,,,,,
1708,my,,,,,
1709,myself,,,,,
1710,mysterious,,,,,
1711,mystery,,,,,
1712,nail,,,,,
1713,name,,,,,
1714,narrative,,,,,
1715,narrow,,,,,
1716,nation,,,,,
1717,national,,,,,
1718,native,,,,,
1719,natural,,,,,
1720,naturally,,,,,
1721,nature,,,,,
1722,near,,,,,
1723,nearly,,,,,
1724,neat,,,,,
1725,necessarily,,,,,
1726,necessary,,,,,
1727,neck,,,,,
1728,need,,,,,
1729,needle,,,,,
1730,negative,,,,,
1731,neighbour,,,,,
1732,neighbourhood,,,,,
1733,neither,,,,,
1734,nerve,,,,,
1735,nervous,,,,,
1736,net,,,,,
1737,network,,,,,
1738,never,,,,,
1739,nevertheless,,,,,
1740,new,,,,,
1741,news,,,,,
1742,newspaper,,,,,
1743,next,,,,,
1744,nextï¿½to,,,,,
1745,nice,,,,,
1746,night,,,,,
1747,nightmare,,,,,
1748,nine,,,,,
1749,nineteen,,,,,
1750,ninety,,,,,
1751,no,,,,,
1752,noï¿½one,,,,,
1753,nobody,,,,,
1754,noise,,,,,
1755,noisy,,,,,
1756,none,,,,,
1757,nor,,,,,
1758,normal,,,,,
1759,normally,,,,,
1760,north,,,,,
1761,northern,,,,,
1762,nose,,,,,
1763,not,,,,,
1764,note,,,,,
1765,nothing,,,,,
1766,notice,,,,,
1767,notion,,,,,
1768,novel,,,,,
1769,November,,,,,
1770,now,,,,,
1771,nowhere,,,,,
1772,nuclear,,,,,
1773,number,,,,,
1774,numerous,,,,,
1775,nurse,,,,,
1776,nut,,,,,
1777,obey,,,,,
1778,object,,,,,
1779,objective,,,,,
1780,obligation,,,,,
1781,observation,,,,,
1782,observe,,,,,
1783,obtain,,,,,
1784,obvious,,,,,
1785,obviously,,,,,
1786,occasion,,,,,
1787,occasionally,,,,,
1788,occur,,,,,
1789,ocean,,,,,
1790,oï¿½clock,,,,,
1791,October,,,,,
1792,odd,,,,,
1793,of,,,,,
1794,off,,,,,
1795,offence,,,,,
1796,offend,,,,,
1797,offensive,,,,,
1798,offer,,,,,
1799,office,,,,,
1800,officer,,,,,
1801,official,,,,,
1802,often,,,,,
1803,oh,,,,,
1804,oil,,,,,
1805,OK,,,,,
1806,old,,,,,
1807,old-fashioned,,,,,
1808,on,,,,,
1809,once,,,,,
1810,one,,,,,
1811,onion,,,,,
1812,online,,,,,
1813,only,,,,,
1814,onto,,,,,
1815,open,,,,,
1816,opening,,,,,
1817,operate,,,,,
1818,operation,,,,,
1819,opinion,,,,,
1820,opponent,,,,,
1821,opportunity,,,,,
1822,oppose,,,,,
1823,opposed,,,,,
1824,opposite,,,,,
1825,opposition,,,,,
1826,option,,,,,
1827,or,,,,,
1828,orange,,,,,
1829,order,,,,,
1830,ordinary,,,,,
1831,organ,,,,,
1832,organization,,,,,
1833,organize,,,,,
1834,organized,,,,,
1835,organizer,,,,,
1836,origin,,,,,
1837,original,,,,,
1838,originally,,,,,
1839,other,,,,,
1840,otherwise,,,,,
1841,ought,,,,,
1842,our,,,,,
1843,ours,,,,,
1844,ourselves,,,,,
1845,out,,,,,
1846,outcome,,,,,
1847,outdoor,,,,,
1848,outdoors,,,,,
1849,outer,,,,,
1850,outline,,,,,
1851,outside,,,,,
1852,A2,,,,,
1853,oven,,,,,
1854,over,,,,,
1855,overall,,,,,
1856,owe,,,,,
1857,own,,,,,
1858,owner,,,,,
1859,pace,,,,,
1860,pack,,,,,
1861,package,,,,,
1862,page,,,,,
1863,pain,,,,,
1864,painful,,,,,
1865,paint,,,,,
1866,painter,,,,,
1867,painting,,,,,
1868,pair,,,,,
1869,palace,,,,,
1870,pale,,,,,
1871,pan,,,,,
1872,panel,,,,,
1873,pants,,,,,
1874,paper,,,,,
1875,paragraph,,,,,
1876,parent,,,,,
1877,park,,,,,
1878,parking,,,,,
1879,parliament,,,,,
1880,part,,,,,
1881,participant,,,,,
1882,participate,,,,,
1883,particular,,,,,
1884,particularly,,,,,
1885,partly,,,,,
1886,partner,,,,,
1887,party,,,,,
1888,pass,,,,,
1889,passage,,,,,
1890,passenger,,,,,
1891,passion,,,,,
1892,passport,,,,,
1893,past,,,,,
1894,path,,,,,
1895,patient,,,,,
1896,pattern,,,,,
1897,pay,,,,,
1898,payment,,,,,
1899,peace,,,,,
1900,peaceful,,,,,
1901,pen,,,,,
1902,pencil,,,,,
1903,penny,,,,,
1904,pension1,,,,,
1905,people,,,,,
1906,pepper,,,,,
1907,per,,,,,
1908,perï¿½cent,,,,,
1909,percentage,,,,,
1910,perfect,,,,,
1911,perfectly,,,,,
1912,perform,,,,,
1913,performance,,,,,
1914,perhaps,,,,,
1915,period,,,,,
1916,permanent,,,,,
1917,permission,,,,,
1918,permit,,,,,
1919,person,,,,,
1920,personal,,,,,
1921,personality,,,,,
1922,personally,,,,,
1923,perspective,,,,,
1924,persuade,,,,,
1925,pet,,,,,
1926,petrol,,,,,
1927,phase,,,,,
1928,phenomenon,,,,,
1929,philosophy,,,,,
1930,phone,,,,,
1931,photo,,,,,
1932,photograph,,,,,
1933,photographer,,,,,
1934,photography,,,,,
1935,phrase,,,,,
1936,physical,,,,,
1937,physics,,,,,
1938,piano,,,,,
1939,pick,,,,,
1940,picture,,,,,
1941,piece,,,,,
1942,pig,,,,,
1943,pile,,,,,
1944,pilot,,,,,
1945,pin,,,,,
1946,pink,,,,,
1947,pipe,,,,,
1948,pitch,,,,,
1949,place,,,,,
1950,plain,,,,,
1951,plan,,,,,
1952,plane,,,,,
1953,planet,,,,,
1954,planning,,,,,
1955,plant,,,,,
1956,plastic,,,,,
1957,plate,,,,,
1958,platform,,,,,
1959,play,,,,,
1960,player,,,,,
1961,pleasant,,,,,
1962,please,,,,,
1963,pleased,,,,,
1964,pleasure,,,,,
1965,plenty,,,,,
1966,plot,,,,,
1967,plus1,,,,,
1968,pocket,,,,,
1969,poem,,,,,
1970,poet,,,,,
1971,poetry,,,,,
1972,point,,,,,
1973,pointed,,,,,
1974,poison,,,,,
1975,poisonous,,,,,
1976,police,,,,,
1977,policeman,,,,,
1978,policy,,,,,
1979,polite,,,,,
1980,political,,,,,
1981,politician,,,,,
1982,politics,,,,,
1983,pollution,,,,,
1984,pool,,,,,
1985,poor,,,,,
1986,pop,,,,,
1987,popular,,,,,
1988,popularity,,,,,
1989,population,,,,,
1990,port,,,,,
1991,portrait,,,,,
1992,pose,,,,,
1993,position,,,,,
1994,positive,,,,,
1995,possess,,,,,
1996,possession,,,,,
1997,possibility,,,,,
1998,possible,,,,,
1999,possibly,,,,,
2000,post,,,,,
2001,poster,,,,,
2002,pot,,,,,
2003,potato,,,,,
2004,potential,,,,,
2005,pound,,,,,
2006,pour,,,,,
2007,poverty,,,,,
2008,powder,,,,,
2009,power,,,,,
2010,powerful,,,,,
2011,practical,,,,,
2012,practice,,,,,
2013,practise,,,,,
2014,praise,,,,,
2015,pray,,,,,
2016,prayer,,,,,
2017,predict,,,,,
2018,prediction,,,,,
2019,prefer,,,,,
2020,pregnant,,,,,
2021,preparation,,,,,
2022,prepare,,,,,
2023,prepared,,,,,
2024,presence,,,,,
2025,present,,,,,
2026,presentation,,,,,
2027,preserve,,,,,
2028,president,,,,,
2029,press,,,,,
2030,pressure,,,,,
2031,pretend,,,,,
2032,pretty,,,,,
2033,prevent,,,,,
2034,previous,,,,,
2035,previously,,,,,
2036,price,,,,,
2037,priest,,,,,
2038,primary,,,,,
2039,prime,,,,,
2040,prince,,,,,
2041,princess,,,,,
2042,principle,,,,,
2043,print,,,,,
2044,printer,,,,,
2045,printing,,,,,
2046,priority,,,,,
2047,prison,,,,,
2048,prisoner,,,,,
2049,privacy,,,,,
2050,private,,,,,
2051,prize,,,,,
2052,probably,,,,,
2053,problem,,,,,
2054,procedure,,,,,
2055,process,,,,,
2056,produce,,,,,
2057,producer,,,,,
2058,product,,,,,
2059,production,,,,,
2060,profession,,,,,
2061,professional,,,,,
2062,professor,,,,,
2063,profile,,,,,
2064,profit,,,,,
2065,program,,,,,
2066,programme,,,,,
2067,progress,,,,,
2068,project,,,,,
2069,promise,,,,,
2070,promote,,,,,
2071,pronounce,,,,,
2072,proof,,,,,
2073,proper,,,,,
2074,properly,,,,,
2075,property,,,,,
2076,proposal,,,,,
2077,propose,,,,,
2078,prospect,,,,,
2079,protect,,,,,
2080,protection,,,,,
2081,protest,,,,,
2082,proud,,,,,
2083,prove,,,,,
2084,provide,,,,,
2085,psychologist,,,,,
2086,psychology,,,,,
2087,pub,,,,,
2088,public,,,,,
2089,publication,,,,,
2090,publish,,,,,
2091,pull,,,,,
2092,punish,,,,,
2093,punishment,,,,,
2094,pupil,,,,,
2095,purchase,,,,,
2096,pure,,,,,
2097,purple,,,,,
2098,purpose,,,,,
2099,pursue,,,,,
2100,push,,,,,
2101,put,,,,,
2102,qualification,,,,,
2103,qualified,,,,,
2104,qualify,,,,,
2105,quality,,,,,
2106,quantity,,,,,
2107,quarter,,,,,
2108,queen,,,,,
2109,question,,,,,
2110,queue,,,,,
2111,quick,,,,,
2112,quickly,,,,,
2113,quiet,,,,,
2114,quietly,,,,,
2115,quit,,,,,
2116,quite,,,,,
2117,quotation,,,,,
2118,quote,,,,,
2119,race,,,,,
2120,race,,,,,
2121,racing,,,,,
2122,radio,,,,,
2123,railway,,,,,
2124,rain,,,,,
2125,raise,,,,,
2126,range,,,,,
2127,rank,,,,,
2128,rapid,,,,,
2129,rapidly,,,,,
2130,rare,,,,,
2131,rarely,,,,,
2132,rate,,,,,
2133,rather,,,,,
2134,raw,,,,,
2135,reach,,,,,
2136,react,,,,,
2137,reaction,,,,,
2138,read,,,,,
2139,reader,,,,,
2140,reading,,,,,
2141,ready,,,,,
2142,real,,,,,
2143,realistic,,,,,
2144,reality,,,,,
2145,realize,,,,,
2146,really,,,,,
2147,reason,,,,,
2148,reasonable,,,,,
2149,recall,,,,,
2150,receipt,,,,,
2151,receive,,,,,
2152,recent,,,,,
2153,recently,,,,,
2154,reception,,,,,
2155,recipe,,,,,
2156,recognize,,,,,
2157,recommend,,,,,
2158,recommendation,,,,,
2159,record,,,,,
2160,recording,,,,,
2161,recover,,,,,
2162,recycle,,,,,
2163,red,,,,,
2164,reduce,,,,,
2165,reduction,,,,,
2166,refer,,,,,
2167,reference,,,,,
2168,reflect,,,,,
2169,refuse1,,,,,
2170,regard,,,,,
2171,region,,,,,
2172,regional,,,,,
2173,register,,,,,
2174,regret,,,,,
2175,regular,,,,,
2176,regularly,,,,,
2177,regulation,,,,,
2178,reject,,,,,
2179,relate,,,,,
2180,related,,,,,
2181,relation,,,,,
2182,relationship,,,,,
2183,relative,,,,,
2184,relatively,,,,,
2185,relax,,,,,
2186,relaxed,,,,,
2187,relaxing,,,,,
2188,release,,,,,
2189,relevant,,,,,
2190,reliable,,,,,
2191,relief,,,,,
2192,religion,,,,,
2193,religious,,,,,
2194,rely,,,,,
2195,remain,,,,,
2196,remark,,,,,
2197,remember,,,,,
2198,remind,,,,,
2199,remote,,,,,
2200,remove,,,,,
2201,rent,,,,,
2202,repair,,,,,
2203,repeat,,,,,
2204,repeated,,,,,
2205,replace,,,,,
2206,reply,,,,,
2207,report,,,,,
2208,reporter,,,,,
2209,represent,,,,,
2210,representative,,,,,
2211,reputation,,,,,
2212,request,,,,,
2213,require,,,,,
2214,requirement,,,,,
2215,rescue,,,,,
2216,research,,,,,
2217,researcher,,,,,
2218,reservation,,,,,
2219,reserve,,,,,
2220,resident,,,,,
2221,resist,,,,,
2222,resolve,,,,,
2223,resort,,,,,
2224,resource,,,,,
2225,respect,,,,,
2226,respond,,,,,
2227,response,,,,,
2228,responsibility,,,,,
2229,responsible,,,,,
2230,rest,,,,,
2231,rest,,,,,
2232,restaurant,,,,,
2233,result,,,,,
2234,retain,,,,,
2235,retire,,,,,
2236,retired,,,,,
2237,return,,,,,
2238,reveal,,,,,
2239,review,,,,,
2240,revise,,,,,
2241,revolution,,,,,
2242,reward,,,,,
2243,rhythm,,,,,
2244,rice,,,,,
2245,rich,,,,,
2246,rid,,,,,
2247,ride,,,,,
2248,right,,,,,
2249,ring1,,,,,
2250,ring2,,,,,
2251,rise,,,,,
2252,risk,,,,,
2253,river,,,,,
2254,road,,,,,
2255,robot,,,,,
2256,rock,,,,,
2257,rock,,,,,
2258,role,,,,,
2259,roll,,,,,
2260,romantic,,,,,
2261,roof,,,,,
2262,room,,,,,
2263,root,,,,,
2264,rope,,,,,
2265,rough,,,,,
2266,round,,,,,
2267,route,,,,,
2268,routine,,,,,
2269,row1,,,,,
2270,royal,,,,,
2271,rub,,,,,
2272,rubber,,,,,
2273,rubbish,,,,,
2274,rude,,,,,
2275,rugby,,,,,
2276,rule,,,,,
2277,run,,,,,
2278,runner,,,,,
2279,running,,,,,
2280,rural,,,,,
2281,rush,,,,,
2282,sad,,,,,
2283,sadly,,,,,
2284,safe,,,,,
2285,safety,,,,,
2286,sail,,,,,
2287,sailing,,,,,
2288,sailor,,,,,
2289,salad,,,,,
2290,salary,,,,,
2291,sale,,,,,
2292,salt,,,,,
2293,same,,,,,
2294,sample,,,,,
2295,sand,,,,,
2296,sandwich,,,,,
2297,satellite,,,,,
2298,satisfied,,,,,
2299,satisfy,,,,,
2300,Saturday,,,,,
2301,sauce,,,,,
2302,save,,,,,
2303,saving,,,,,
2304,say,,,,,
2305,scale,,,,,
2306,scan,,,,,
2307,scared,,,,,
2308,scary,,,,,
2309,scene,,,,,
2310,schedule,,,,,
2311,scheme,,,,,
2312,school,,,,,
2313,science,,,,,
2314,scientific,,,,,
2315,scientist,,,,,
2316,score,,,,,
2317,scream,,,,,
2318,screen,,,,,
2319,script,,,,,
2320,sculpture,,,,,
2321,sea,,,,,
2322,search,,,,,
2323,season,,,,,
2324,seat,,,,,
2325,second1,,,,,
2326,number,,,,,
2327,second1,,,,,
2328,secondary,,,,,
2329,secondly,,,,,
2330,secret,,,,,
2331,secretary,,,,,
2332,section,,,,,
2333,sector,,,,,
2334,secure,,,,,
2335,security,,,,,
2336,see,,,,,
2337,seed,,,,,
2338,seek,,,,,
2339,seem,,,,,
2340,select,,,,,
2341,selection,,,,,
2342,self,,,,,
2343,sell,,,,,
2344,send,,,,,
2345,senior,,,,,
2346,sense,,,,,
2347,sensible,,,,,
2348,sensitive,,,,,
2349,sentence,,,,,
2350,separate,,,,,
2351,September,,,,,
2352,sequence,,,,,
2353,series,,,,,
2354,serious,,,,,
2355,seriously,,,,,
2356,servant,,,,,
2357,serve,,,,,
2358,service,,,,,
2359,session,,,,,
2360,set,,,,,
2361,set,,,,,
2362,setting,,,,,
2363,settle,,,,,
2364,seven,,,,,
2365,seventeen,,,,,
2366,seventy,,,,,
2367,several,,,,,
2368,severe,,,,,
2369,sex,,,,,
2370,sexual,,,,,
2371,shade,,,,,
2372,shadow,,,,,
2373,shake,,,,,
2374,shall,,,,,
2375,shallow,,,,,
2376,shame,,,,,
2377,shape,,,,,
2378,share,,,,,
2379,sharp,,,,,
2380,she,,,,,
2381,sheep,,,,,
2382,sheet,,,,,
2383,shelf,,,,,
2384,shell,,,,,
2385,shelter,,,,,
2386,shift,,,,,
2387,shine,,,,,
2388,shiny,,,,,
2389,ship,,,,,
2390,shirt,,,,,
2391,shock,,,,,
2392,shocked,,,,,
2393,shoe,,,,,
2394,shoot,,,,,
2395,shooting,,,,,
2396,shop,,,,,
2397,shopping,,,,,
2398,short,,,,,
2399,shot,,,,,
2400,should,,,,,
2401,shoulder,,,,,
2402,shout,,,,,
2403,show,,,,,
2404,shower,,,,,
2405,shut,,,,,
2406,shy,,,,,
2407,sick,,,,,
2408,side,,,,,
2409,sight,,,,,
2410,sign,,,,,
2411,signal,,,,,
2412,significant,,,,,
2413,significantly,,,,,
2414,silence,,,,,
2415,silent,,,,,
2416,silk,,,,,
2417,silly,,,,,
2418,silver,,,,,
2419,similar,,,,,
2420,similarity,,,,,
2421,similarly,,,,,
2422,simple,,,,,
2423,simply,,,,,
2424,since,,,,,
2425,sincere,,,,,
2426,sing,,,,,
2427,singer,,,,,
2428,singing,,,,,
2429,single,,,,,
2430,sink,,,,,
2431,sir,,,,,
2432,sister,,,,,
2433,sit,,,,,
2434,site,,,,,
2435,situation,,,,,
2436,six,,,,,
2437,sixteen,,,,,
2438,sixty,,,,,
2439,size,,,,,
2440,ski,,,,,
2441,skiing,,,,,
2442,skill,,,,,
2443,skin,,,,,
2444,skirt,,,,,
2445,sky,,,,,
2446,slave,,,,,
2447,sleep,,,,,
2448,slice,,,,,
2449,slide,,,,,
2450,slight,,,,,
2451,slightly,,,,,
2452,slip,,,,,
2453,slope,,,,,
2454,slow,,,,,
2455,slowly,,,,,
2456,small,,,,,
2457,smart,,,,,
2458,smartphone,,,,,
2459,smell,,,,,
2460,smile,,,,,
2461,smoke,,,,,
2462,smoking,,,,,
2463,smooth,,,,,
2464,snake,,,,,
2465,snow,,,,,
2466,so,,,,,
2467,soap,,,,,
2468,soccer,,,,,
2469,social,,,,,
2470,society,,,,,
2471,sock,,,,,
2472,soft,,,,,
2473,software,,,,,
2474,soil,,,,,
2475,solar,,,,,
2476,soldier,,,,,
2477,solid,,,,,
2478,solution,,,,,
2479,solve,,,,,
2480,some,,,,,
2481,somebody,,,,,
2482,someone,,,,,
2483,something,,,,,
2484,sometimes,,,,,
2485,somewhat,,,,,
2486,somewhere,,,,,
2487,son,,,,,
2488,song,,,,,
2489,soon,,,,,
2490,sorry,,,,,
2491,sort,,,,,
2492,soul,,,,,
2493,sound,,,,,
2494,soup,,,,,
2495,source,,,,,
2496,south,,,,,
2497,southern,,,,,
2498,space,,,,,
2499,speak,,,,,
2500,speaker,,,,,
2501,special,,,,,
2502,specialist,,,,,
2503,species,,,,,
2504,specific,,,,,
2505,specifically,,,,,
2506,speech,,,,,
2507,speed,,,,,
2508,spell,,,,,
2509,spelling,,,,,
2510,spend,,,,,
2511,spending,,,,,
2512,spicy,,,,,
2513,spider,,,,,
2514,spirit,,,,,
2515,spiritual,,,,,
2516,split,,,,,
2517,spoken,,,,,
2518,sponsor,,,,,
2519,spoon,,,,,
2520,sport,,,,,
2521,spot,,,,,
2522,spread,,,,,
2523,spring,,,,,
2524,square,,,,,
2525,stable,,,,,
2526,stadium,,,,,
2527,staff,,,,,
2528,stage,,,,,
2529,stair,,,,,
2530,stamp,,,,,
