,en,fr,es,de,ru,pl
1232,hearing,audience,audiencia,Anhörung,слушание,przesłuchanie
1233,heart,cœur,corazón,Herz,сердце,serce
1234,heat,chaleur,calor,Hitze,нагревать,ciepło
1235,heating,chauffage,calefacción,Heizung,обогрев,ogrzewanie
1236,heaven,paradis,cielo,Himmel,небеса,niebo
1237,heavily,fortement,fuertemente,stark,тяжело,mocno
1238,heavy,lourd,pesado,schwer,тяжелый,ciężki
1239,heel,talon,tacón,Ferse,каблук,obcas
1240,height,hauteur,altura,Höhe,высота,wysokość
1241,helicopter,hélicoptère,helicóptero,Hubschrauber,вертолет,śmigłowiec
1242,hell,enfer,infierno,Hölle,ад,piekło
1243,hello,Bonjour,Hola,Hallo,привет,Witam
1244,help,aide,ayuda,helfen,помощь,pomoc
1245,helpful,utile,útil,hilfreich,полезный,pomocny
1246,her,son,su,ihr,ее,jej
1247,here,ici,aquí,Hier,здесь,Tutaj
1248,hero,héros,héroe,Held,герой,bohater
1249,hers,la sienne,suyo,ihre,ее,jej
1250,herself,se,sí misma,sich,себя,się
1251,hesitate,hésiter,dudar,zögern,сомневаться,wahać się
1252,hey,Hé,ey,Hey,привет,Hej
1253,hi,Salut,Hola,Hi,привет,Cześć
1254,hide,cacher,esconder,verstecken,скрывать,ukrywać
1255,high,haut,alto,hoch,высокий,wysoki
1256,highlight,souligner,destacar,Highlight,выделять,atrakcja
1257,highly,très,muy,hoch,высоко,wysoko
1258,hill,colline,colina,hügel,холм,wzgórze
1259,him,lui,a él,ihn,ему,jego
1260,himself,se,sí mismo,sich selbst,сам,się
1261,hire,embaucher,contratar,mieten,нанимать,wynajmować
1262,his,son,su,sein,его,jego
1263,historic,historique,histórico,historisch,исторический,historyczny
1264,historical,historique,histórico,historisch,исторический,historyczny
1265,history,histoire,historia,Geschichte,история,historia
1266,hit,frapper,golpear,Schlag,ударять,uderzyć
1267,hobby,passe-temps,pasatiempo,Hobby,хобби,hobby
1268,hockey,hockey,hockey,Eishockey,хоккей,hokej
1269,hold,prise,sostener,halten,держать,trzymać
1270,hole,trou,agujero,Loch,дыра,otwór
1271,holiday,vacances,día festivo,Urlaub,праздничный день,wakacje
1272,hollow,creux,hueco,hohl,пустой,dziurawy
1273,holy,saint,santo,heilig,Святой,święty
1274,home,maison,hogar,heim,дом,dom
1275,homework,devoirs,tarea,Hausaufgaben,домашнее задание,praca domowa
1276,honest,honnête,honesto,ehrlich,честный,uczciwy
1277,honour,honneur,honor,Ehre,честь,honor
1278,hope,espoir,esperanza,Hoffnung,надеяться,mieć nadzieję
1279,horrible,horrible,horrible,schrecklich,ужасный,straszny
1280,horror,horreur,horror,Horror,ужас,przerażenie
1281,horse,cheval,caballo,Pferd,лошадь,koń
1282,hospital,hôpital,hospital,Krankenhaus,больница,szpital
1283,host,hôte,anfitrión,Gastgeber,хозяин,gospodarz
1284,hot,chaud,caliente,heiß,горячий,gorący
1285,hotel,hôtel,hotel,Hotel,отель,hotel
1286,hour,heure,hora,Stunde,час,godzina
1287,house,maison,casa,Haus,дом,dom
1288,household,ménage,familiar,Haushalt,семья,gospodarstwo domowe
1289,housing,logement,alojamiento,Gehäuse,жилье,mieszkania
1290,how,comment,cómo,Wie,как,Jak
1291,however,cependant,sin embargo,Jedoch,однако,Jednakże
1292,huge,énorme,enorme,riesig,огромный,ogromny
1293,human,humain,humano,menschlich,человек,człowiek
1294,humorous,humoristique,humorístico,humorvoll,юмористический,humorystyczny
1295,humour,humour,humor,Humor,юмор,humor
1296,hundred,cent,centenar,hundert,сто,sto
1297,hungry,affamé,hambriento,hungrig,голодный,głodny
1298,hunt,chasse,caza,Jagd,охотиться,polowanie
1299,hunting,chasse,caza,Jagd,охота,polowanie
1300,hurricane,ouragan,huracán,Hurrikan,ураган,huragan
1301,hurry,dépêchez-vous,apurarse,beeil dich,торопиться,spieszyć się
1302,hurt,blesser,herir,verletzt,повредить,zraniony
1303,husband,mari,marido,Ehemann,муж,mąż
1304,I,je,I,ICH,я,I
1305,ice,glace,hielo,Eis,лед,lód
1306,iceÃ¯Â¿Â½cream,glace,hielo,Eiscreme,Iceã¯½½ -Cream,Iceã¯â½ Cream
1307,idea,idée,idea,Idee,идея,pomysł
1308,ideal,idéal,ideal,Ideal,идеал,ideał
1309,identify,identifier,identificar,identifizieren,идентифицировать,zidentyfikować
1310,identity,identité,identidad,Identität,личность,tożsamość
1311,if,si,si,Wenn,если,Jeśli
1312,ignore,ignorer,ignorar,ignorieren,игнорировать,ignorować
1313,ill,je vais,enfermo,krank,больной,chory
1314,illegal,illégal,ilegal,illegal,незаконно,nielegalny
1315,illness,maladie,enfermedad,Erkrankung,болезнь,choroba
1316,illustrate,illustrer,ilustrar,veranschaulichen,иллюстрировать,zilustrować
1317,illustration,illustration,ilustración,Illustration,иллюстрация,ilustracja
1318,image,image,imagen,Bild,изображение,obraz
1319,imaginary,imaginaire,imaginario,imaginär,воображаемый,wyimaginowany
1320,imagination,imagination,imaginación,Vorstellung,воображение,wyobraźnia
1321,imagine,imaginer,imaginar,vorstellen,представлять себе,wyobrażać sobie
1322,immediate,immédiat,inmediato,sofort,немедленный,natychmiastowy
1323,immediately,immédiatement,inmediatamente,sofort,немедленно,natychmiast
1324,immigrant,immigrant,inmigrante,Immigrant,иммигрант,imigrant
1325,impact,impact,impacto,Auswirkungen,влияние,uderzenie
1326,impatient,impatient,impaciente,ungeduldig,нетерпеливый,niecierpliwy
1327,imply,impliquer,implicar,implizieren,подразумевать,sugerować
1328,import,importer,importar,Import,импорт,import
1329,importance,importance,importancia,Bedeutung,значение,znaczenie
1330,important,important,importante,wichtig,важный,ważny
1331,impose,imposer,imponer,auferlegen,навязывать,narzucać
1332,impossible,impossible,imposible,unmöglich,невозможный,niemożliwe
1333,impress,impressionner,impresionar,beeindrucken,впечатление,piętno
1334,impressed,impressionné,impresionado,beeindruckt,впечатленный,pod wrażeniem
1335,impression,impression,impresión,Eindruck,впечатление,wrażenie
1336,impressive,impressionnant,impresionante,beeindruckend,впечатляющий,imponujący
1337,improve,améliorer,mejorar,verbessern,улучшать,poprawić
1338,improvement,amélioration,mejora,Verbesserung,улучшение,poprawa
1339,in,dans,en,In,в,W
1340,inch,pouce,pulgada,Zoll,дюйм,cal
1341,incident,incident,incidente,Vorfall,инцидент,incydent
1342,include,inclure,incluir,enthalten,включать,włączać
1343,included,compris,incluido,enthalten,Включен,dołączony
1344,including,y compris,incluido,einschließlich,включая,w tym
1345,income,revenu,ingreso,Einkommen,доход,dochód
1346,increase,augmenter,aumentar,Zunahme,увеличивать,zwiększyć
1347,increasingly,de plus en plus,cada vez más,zunehmend,все чаще,coraz częściej
1348,incredible,incroyable,increíble,unglaublich,невероятный,niesamowity
1349,incredibly,incroyablement,increíblemente,unglaublich,Невероятно,niesamowicie
1350,indeed,en effet,en efecto,In der Tat,действительно,Rzeczywiście
1351,independent,indépendant,independiente,unabhängig,независимый,niezależny
1352,indicate,indiquer,indicar,angeben,указывать,wskazać
1353,indirect,indirect,indirecto,indirekt,косвенный,pośredni
1354,individual,individuel,individual,Person,индивидуальный,indywidualny
1355,indoor,intérieur,interior,Innenräume,в помещении,wnętrz
1356,indoors,à l'intérieur,dentro,drinnen,в помещении,w domu
1357,industrial,industriel,industrial,industriell,промышленное,przemysłowy
1358,industry,industrie,industria,Industrie,промышленность,przemysł
1359,infection,infection,infección,Infektion,инфекция,zakażenie
1360,influence,influence,influencia,beeinflussen,влияние,wpływ
1361,inform,informer,informar,informieren,информировать,poinformować
1362,informal,informel,informal,informell,неофициальный,nieformalny
1363,information,information,información,Information,информация,informacja
1364,ingredient,ingrédient,ingrediente,Bestandteil,ингредиент,składnik
1365,initial,initial,inicial,anfänglich,исходный,wstępny
1366,initially,initialement,inicialmente,anfänglich,изначально,początkowo
1367,initiative,initiative,iniciativa,Initiative,инициатива,inicjatywa
1368,injure,blesser,lesionar,verletzen,травмирование,szkodzić
1369,injured,blessé,herido,verletzt,раненый,ranny
1370,injury,blessure,lesión,Verletzung,рана,obrażenia
1371,inner,intérieur,interno,innere,внутренний,wewnętrzny
1372,innocent,innocent,inocente,unschuldig,невиновный,niewinny
1373,insect,insecte,insecto,Insekt,насекомое,owad
1374,inside,à l'intérieur,adentro,innen,внутри,wewnątrz
1375,insight,aperçu,conocimiento,Einblick,понимание,wgląd
1376,insist,insister,insistir,pochen,настаивать,nalegać
1377,inspire,inspirer,inspirar,inspirieren,вдохновлять,inspirować
1378,install,installer,instalar,installieren,установить,zainstalować
1379,instance,exemple,instancia,Beispiel,пример,przykład
1380,instead,plutôt,en cambio,stattdessen,вместо,Zamiast
1381,institute,institut,instituto,Institut,институт,instytut
1382,institution,institution,institución,Institution,учреждение,instytucja
1383,instruction,instruction,instrucción,Anweisung,инструкция,instrukcja
1384,instructor,instructeur,instructor,Lehrer,инструктор,instruktor
1385,instrument,instrument,instrumento,Instrument,инструмент,instrument
1386,insurance,assurance,seguro,Versicherung,страхование,ubezpieczenie
1387,intelligence,intelligence,inteligencia,Intelligenz,интеллект,inteligencja
1388,intelligent,intelligent,inteligente,intelligent,разумный,inteligentny
1389,intend,avoir l'intention,pretender,beabsichtigen,намереваться,zamierzać
1390,intended,destiné,destinado,beabsichtigt,намеревался,przeznaczony
1391,intense,intense,intenso,intensiv,интенсивный,intensywny
1392,intention,intention,intención,Absicht,намерение,zamiar
1393,interest,intérêt,interés,Interesse,интерес,odsetki
1394,interested,intéressé,interesado,interessiert,заинтересован,zainteresowany
1395,interesting,intéressant,interesante,interessant,интересный,ciekawy
1396,internal,interne,interno,intern,внутренний,wewnętrzny
1397,international,international,internacional,international,Международный,międzynarodowy
1398,internet,Internet,Internet,Internet,Интернет,Internet
1399,interpret,interpréter,interpretar,interpretieren,интерпретация,interpretować
1400,interrupt,interrompre,interrumpir,unterbrechen,прерывать,przerywać
1401,interview,entretien,entrevista,Interview,интервью,wywiad
1402,into,dans,en,hinein,в,do
1403,introduce,introduire,introducir,einführen,представлять,wprowadzić
1404,introduction,introduction,introducción,Einführung,введение,wstęp
1405,invent,inventer,inventar,erfinden,изобретать,wynaleźć
1406,invention,invention,invención,Erfindung,изобретение,wynalazek
1407,invest,investir,invertir,investieren,инвестировать,inwestować
1408,investigate,enquêter,investigar,untersuchen,расследовать,zbadać
1409,investigation,enquête,investigación,Untersuchung,расследование,dochodzenie
1410,investment,investissement,inversión,Investition,инвестиции,inwestycja
1411,invitation,invitation,invitación,Einladung,приглашение,zaproszenie
1412,invite,inviter,invitar,einladen,приглашать,zapraszać
1413,involve,impliquer,involucrar,einbeziehen,вовлекать,zaangażować
1414,involved,impliqué,involucrado,beteiligt,вовлеченный,zaangażowany
1415,iron,fer,hierro,Eisen,железо,żelazo
1416,island,île,isla,Insel,остров,wyspa
1417,issue,problème,asunto,Ausgabe,проблема,wydanie
1418,IT,IL,ÉL,ES,ЭТО,TO
1419,it,il,él,Es,это,To
1420,item,article,artículo,Artikel,элемент,przedmiot
1421,its,c'est,es,es ist,его,jego
1422,itself,lui-même,sí mismo,selbst,сам,się
1423,jacket,veste,chaqueta,Jacke,куртка,kurtka
1424,jam,Confiture,atasco,Marmelade,варень,dżem
1425,January,Janvier,Enero,Januar,Январь,Styczeń
1426,jazz,jazz,jazz,Jazz,джаз,jazz
1427,jeans,jeans,vaqueros,Jeans,джинсы,dżinsy
1428,jewellery,bijoux,joyería,Schmuck,ювелирные изделия,biżuteria
1429,job,emploi,trabajo,Arbeit,работа,stanowisko
1430,join,rejoindre,unirse,verbinden,присоединиться,dołączyć
1431,joke,blague,broma,Witz,шутить,żart
1432,journal,journal,diario,Zeitschrift,журнал,dziennik
1433,journalist,journaliste,periodista,Journalist,журналист,dziennikarz
1434,journey,voyage,viaje,Reise,путешествие,podróż
1435,joy,joie,alegría,Freude,радость,radość
1436,judge,juge,juez,Richter,судить,sędzia
1437,judgement,jugement,juicio,Urteil,суждение,osąd
1438,juice,jus,jugo,Saft,сок,sok
1439,July,Juillet,Julio,Juli,Июль,Lipiec
1440,jump,saut,saltar,springen,прыгать,skok
1441,June,Juin,Junio,Juni,Июнь,Czerwiec
1442,junior,junior,júnior,Junior-,младший,junior
1443,just,juste,justo,Nur,только,Tylko
1444,justice,justice,justicia,Gerechtigkeit,справедливость,sprawiedliwość
1445,justify,justifier,justificar,rechtfertigen,оправдывать,uzasadniać
1446,keen,passionné,afecto,erpicht,увлеченный,chętny
1447,keep,garder,mantener,halten,держать,trzymać
1448,key,clé,llave,Schlüssel,ключ,klawisz
1449,keyboard,clavier,teclado,Tastatur,клавиатура,klawiatura
1450,kick,coup,patada,Kick,пинать,rzut
1451,kid,enfant,niño,Kind,ребенок,dziecko
1452,kill,tuer,matar,töten,убийство,zabić
1453,killing,meurtre,asesinato,Tötung,убийство,zabicie
1454,kilometre,kilomètre,kilómetro,Kilometer,километр,kilometr
1455,kind,gentil,amable,Art,добрый,Uprzejmy
1456,kind,gentil,amable,Art,добрый,Uprzejmy
1457,king,roi,rey,König,король,król
1458,kiss,baiser,beso,Kuss,целовать,pocałunek
1459,kitchen,cuisine,cocina,Küche,кухня,kuchnia
1460,knee,genou,rodilla,Knie,колено,kolano
1461,knife,couteau,cuchillo,Messer,нож,nóż
1462,knock,frappe,golpear,klopfen,поступить,pukanie
1463,know,savoir,saber,wissen,знать,wiedzieć
1464,knowledge,connaissance,conocimiento,Wissen,знание,wiedza
1465,lab,laboratoire,laboratorio,Labor,лаборатория,laboratorium
1466,label,étiquette,etiqueta,Etikett,этикетка,etykieta
1467,laboratory,laboratoire,laboratorio,Labor,лаборатория,laboratorium
1468,labour,travail,mano de obra,Arbeit,труд,praca
1469,lack,manque,falta,Mangel,недостаток,brak
1470,lady,dame,dama,Dame,леди,dama
1471,lake,lac,lago,See,озеро,jezioro
1472,lamp,lampe,lámpara,Lampe,лампа,lampa
1473,land,atterrir,tierra,Land,земля,grunt
1474,landscape,paysage,paisaje,Landschaft,пейзаж,krajobraz
1475,language,langue,idioma,Sprache,язык,język
1476,laptop,ordinateur portable,computadora portátil,Laptop,ноутбук,laptop
1477,large,grand,grande,groß,большой,duży
1478,largely,en grande partie,en gran parte,weitgehend,в значительной степени,w dużej mierze
1479,last1,dernier1,Último,last1,Последний,Last1
1480,last1,dernier1,Último,last1,Последний,Last1
1481,late,en retard,tarde,spät,поздно,późno
1482,later,plus tard,más tarde,später,позже,później
1483,latest,dernier,el último,letzte,последний,najnowszy
1484,laugh,rire,reír,lachen,смех,śmiech
1485,laughter,rire,risa,Lachen,смех,śmiech
1486,launch,lancement,lanzamiento,Start,запуск,początek
1487,law,loi,ley,Gesetz,закон,prawo
1488,lawyer,avocat,abogado,Rechtsanwalt,адвокат,prawnik
1489,lay,poser,poner,legen,класть,położyć
1490,layer,couche,capa,Schicht,слой,warstwa
1491,lazy,paresseux,perezoso,faul,ленивый,leniwy
1492,lead1,plomb1,lidera,Lead1,лидерство1,Lead1
1493,leader,chef,líder,Führer,лидер,lider
1494,leadership,direction,liderazgo,Führung,лидерство,przywództwo
1495,leading,menant,principal,führend,ведущий,prowadzący
1496,leaf,feuille,hoja,Blatt,лист,liść
1497,league,ligue,liga,Liga,лига,liga
1498,lean,maigre,inclinarse,mager,наклонять,pochylać się
1499,learn,apprendre,aprender,lernen,учиться,uczyć się
1500,learning,apprentissage,aprendiendo,Lernen,обучение,nauka
1501,least,moins,el menos,am wenigsten,наименее,najmniej
1502,leather,cuir,cuero,Leder,кожа,skóra
1503,leave,partir,dejar,verlassen,оставлять,Zostawić
1504,lecture,conférence,conferencia,Vortrag,лекция,wykład
1505,left,gauche,izquierda,links,левый,lewy
1506,leg,jambe,pierna,Bein,нога,noga
1507,legal,légal,legal,legal,юридический,prawny
1508,leisure,loisirs,ocio,Freizeit,досуг,wypoczynek
1509,lemon,citron,limón,Zitrone,лимон,cytrynowy
1510,lend,prêter,prestar,leihen,одалживать,pożyczać
1511,length,longueur,longitud,Länge,длина,długość
1512,less,moins,menos,weniger,меньше,mniej
1513,lesson,leçon,lección,Lektion,урок,lekcja
1514,let,laisser,dejar,lassen,позволять,pozwalać
1515,letter,lettre,carta,Brief,письмо,list
1516,level,niveau,nivel,Ebene,уровень,poziom
1517,library,bibliothèque,biblioteca,Bibliothek,библиотека,biblioteka
1518,licence,licence,licencia,Lizenz,лицензия,licencja
1519,lie1,lie1,lie1,lügen1,лжи,lie1
1520,lie2,lie2,mentir2,lügen2,ложь,lie2
1521,life,vie,vida,Leben,жизнь,życie
1522,lifestyle,style de vie,estilo de vida,Lebensstil,образ жизни,styl życia
1523,lift,ascenseur,elevar,Aufzug,поднимать,winda
1524,light,lumière,luz,Licht,свет,światło
1525,light,lumière,luz,Licht,свет,światło
1526,like,comme,como,wie,нравиться,tak jak
1527,like,comme,como,wie,нравиться,tak jak
1528,likely,probable,probable,wahrscheinlich,вероятный,prawdopodobnie
1529,limit,limite,límite,Limit,предел,limit
1530,limited,limité,limitado,beschränkt,ограничен,ograniczony
1531,line,doubler,línea,Linie,линия,linia
1532,link,lien,enlace,Link,связь,połączyć
1533,lion,lion,león,Löwe,лев,lew
1534,lip,lèvre,labio,Lippe,губа,warga
1535,liquid,liquide,líquido,flüssig,жидкость,płyn
1536,list,liste,lista,Liste,список,lista
1537,listen,écouter,escuchar,Hören,слушать,Słuchać
1538,listener,auditeur,oyente,Hörer,слушатель,słuchacz
1539,literature,littérature,literatura,Literatur,литература,literatura
1540,little,petit,pequeño,wenig,маленький,mały
1541,live,vivre,vivir,leben,жить,żyć
1542,lively,vivant,dinámico,lebhaft,живой,pełen życia
1543,living,vie,viviendo,Leben,жизнь,żyjący
1544,load,charger,carga,laden,нагрузка,obciążenie
1545,loan,prêt,préstamo,Darlehen,заем,pożyczka
1546,local,locale,local,lokal,местный,lokalny
1547,locate,situer,localizar,lokalisieren,найти,lokalizować
1548,located,situé,situado,gelegen,расположенный,usytuowany
1549,location,emplacement,ubicación,Standort,расположение,lokalizacja
1550,lock,verrouillage,cerrar,sperren,замок,zamek
1551,logical,logique,lógico,logisch,логичный,logiczny
1552,lonely,solitaire,solitario,einsam,одинокий,samotny
1553,long,long,largo,lang,длинный,długi
1554,long-term,à long terme,a largo plazo,langfristig,долгосрочный,długofalowy
1555,look,regarder,mirar,sehen,смотреть,Patrzeć
1556,loose,lâche,perder,lose,свободный,luźny
1557,lord,seigneur,caballero,Herr,господин,lord
1558,lorry,camion,camión,LKW,грузовик,ciężarówka
1559,lose,perdre,perder,verlieren,терять,stracić
1560,loss,perte,pérdida,Verlust,потеря,strata
1561,lost,perdu,perdido,verloren,потерянный,zaginiony
1562,lot,parcelle,lote,viel,много,działka
1563,loud,fort,alto,laut,громкий,głośny
1564,loudly,bruyamment,fuerte,laut,громко,głośno
1565,love,amour,amar,Liebe,любовь,Miłość
1566,lovely,beau,hermoso,schön,прекрасный,śliczny
1567,low,faible,bajo,niedrig,низкий,Niski
1568,lower,inférieur,más bajo,untere,ниже,niżej
1569,luck,chance,suerte,Glück,удача,szczęście
1570,lucky,chanceux,afortunado,glücklich,удачливый,mający szczęście
1571,lunch,déjeuner,almuerzo,Mittagessen,обед,obiad
1572,lung,poumon,pulmón,Lunge,легкое,płuco
1573,luxury,luxe,lujo,Luxus,роскошь,luksus
1574,machine,machine,máquina,Maschine,машина,maszyna
1575,mad,fou,enojado,verrückt,безумный,szalony
1576,magazine,revue,revista,Magazin,журнал,magazyn
1577,magic,magie,magia,Magie,магия,magia
1578,mail,mail,correo,Post,почта,poczta
1579,main,principal,principal,hauptsächlich,основной,główny
1580,mainly,principalement,principalmente,hauptsächlich,в основном,głównie
1581,maintain,maintenir,mantener,pflegen,поддерживать,utrzymywać
1582,major,majeur,importante,wesentlich,главный,główny
1583,majority,majorité,mayoría,mehrheitlich,большинство,większość
1584,make,faire,hacer,machen,делать,robić
1585,male,mâle,masculino,männlich,мужской,Mężczyzna
1586,mall,centre commercial,centro comercial,Einkaufszentrum,торговый центр,centrum handlowe
1587,man,homme,hombre,Mann,мужчина,Człowiek
1588,manage,gérer,administrar,verwalten,управлять,zarządzać
1589,management,gestion,gestión,Management,управление,kierownictwo
1590,manager,directeur,gerente,Manager,менеджер,menedżer
1591,manner,manière,manera,Benehmen,манера,sposób
1592,many,beaucoup,muchos,viele,много,wiele
1593,map,carte,mapa,Karte,карта,mapa
1594,March,Mars,Marzo,Marsch,Маршировать,marzec
1595,mark,marque,marca,markieren,отметка,ocena
1596,market,marché,mercado,Markt,рынок,rynek
1597,marketing,commercialisation,marketing,Marketing,маркетинг,marketing
1598,marriage,mariage,casamiento,Hochzeit,свадьба,małżeństwo
1599,married,marié,casado,verheiratet,женатый,żonaty
1600,marry,marier,casarse,heiraten,жениться,poślubić
1601,mass,masse,masa,Masse,масса,masa
1602,massive,massif,masivo,massiv,массивный,masywny
1603,master,maître,maestro,Master,владелец,gospodarz
1604,match,correspondre,fósforo,übereinstimmen,соответствовать,mecz
1605,matching,apparition,pareo,Matching,соответствующий,dopasowanie
1606,material,matériel,material,Material,материал,tworzywo
1607,mathematics,mathématiques,matemáticas,Mathematik,Математика,matematyka
1608,maths,maths,matemáticas,Mathematik,математика,matematyka
1609,matter,matière,asunto,Gegenstand,иметь значение,materiał
1610,maximum,maximum,máximo,maximal,максимум,maksymalny
1611,May,Peut,Puede,Mai,Может,Móc
1612,may,peut,puede,Mai,может,móc
1613,maybe,peut être,tal vez,Vielleicht,может быть,Może
1614,me,moi,a mí,Mich,мне,Ja
1615,meal,repas,comida,Mahlzeit,еда,posiłek
1616,mean,signifier,significar,bedeuten,иметь в виду,mieć na myśli
1617,meaning,signification,significado,Bedeutung,значение,oznaczający
1618,means,moyens,medio,bedeutet,означает,oznacza
1619,meanwhile,entre-temps,mientras tanto,in der Zwischenzeit,тем временем,Tymczasem
1620,measure,mesure,medida,messen,мера,mierzyć
1621,measurement,mesures,medición,Messung,измерение,pomiar
1622,meat,viande,carne,Fleisch,мясо,mięso
1623,media,médias,medios de comunicación,Medien,СМИ,głoska bezdźwięczna
1624,medical,médical,médico,medizinisch,медицинский,medyczny
1625,medicine,médecine,medicamento,Medizin,лекарство,medycyna
1626,medium,moyen,medio,Medium,середина,średni
1627,meet,rencontrer,encontrarse,treffen,встретиться,poznać
1628,meeting,réunion,reunión,treffen,встреча,spotkanie
1629,melt,fondre,derretir,schmelzen,таять,stopić
1630,member,membre,miembro,Mitglied,член,członek
1631,memory,mémoire,memoria,Erinnerung,память,pamięć
1632,mental,mental,mental,mental,психиатрический,psychiczny
1633,mention,mention,mencionar,erwähnen,упомянуть,wzmianka
1634,menu,menu,menú,Speisekarte,меню,menu
1635,mess,désordre,desorden,Durcheinander,беспорядок,bałagan
1636,message,message,mensaje,Nachricht,сообщение,wiadomość
1637,metal,métal,metal,Metall,металл,metal
1638,method,méthode,método,Verfahren,метод,metoda
1639,metre,mètre,metro,Meter,метр,metr
1640,middle,milieu,medio,Mitte,середина,środek
1641,midnight,minuit,medianoche,Mitternacht,полночь,północ
1642,might,pourrait,podría,könnte,мощь,móc
1643,mild,bénin,leve,leicht,мягкий,łagodny
1644,mile,mile,milla,Meile,миля,mila
1645,military,militaire,militar,Militär,военный,wojskowy
1646,milk,lait,leche,Milch,молоко,mleko
1647,million,million,millón,Million,миллион,milion
1648,mind,esprit,mente,Geist,разум,umysł
1649,mine,le mien,mío,meins,мой,kopalnia
1650,mine,le mien,mío,meins,мой,kopalnia
1651,mineral,minéral,mineral,Mineral,минерал,minerał
1652,minimum,minimum,mínimo,Minimum,минимум,minimum
1653,minister,ministre,ministro,Minister,министр,minister
1654,minor,mineure,menor,unerheblich,незначительный,drobny
1655,minority,minorité,minoría,Minderheit,меньшинство,mniejszość
1656,minute1,minute1,minuto1,Minute1,минута 1,Minute1
1657,mirror,miroir,espejo,Spiegel,зеркало,lustro
1658,miss,manquer,extrañar,vermissen,скучать,chybić
1659,missing,manquant,desaparecido,fehlen,отсутствующий,zaginiony
1660,mission,mission,misión,Mission,миссия,misja
1661,mistake,erreur,error,Fehler,ошибка,błąd
1662,mix,mélanger,mezcla,mischen,смешивание,mieszać
1663,mixed,mixte,mezclado,gemischt,смешанный,mieszany
1664,mixture,mélange,mezcla,Mischung,смесь,mieszanina
1665,mobile,mobile,móvil,Mobile,мобильный,przenośny
1666,model,modèle,modelo,Modell,модель,model
1667,modern,moderne,moderno,modern,современный,nowoczesny
1668,modify,modifier,modificar,ändern,модифицировать,modyfikować
1669,moment,moment,momento,Moment,мгновенный,moment
1670,Monday,Lundi,Lunes,Montag,Понедельник,Poniedziałek
1671,money,argent,dinero,Geld,деньги,pieniądze
1672,monitor,moniteur,monitor,Monitor,монитор,monitor
1673,monkey,singe,mono,Affe,обезьяна,małpa
1674,month,mois,mes,Monat,месяц,miesiąc
1675,mood,humeur,ánimo,Stimmung,настроение,nastrój
1676,moon,lune,luna,Mond,луна,księżyc
1677,moral,morale,moral,Moral,моральный,morał
1678,more,plus,más,mehr,более,więcej
1679,morning,matin,mañana,Morgen,утро,Poranek
1680,most,la plupart,mayoría,am meisten,большинство,bardzo
1681,mostly,surtout,principalmente,meistens,по большей части,głównie
1682,mother,mère,madre,Mutter,мать,matka
1683,motor,moteur,motor,Motor,мотор,silnik
1684,motorcycle,moto,motocicleta,Motorrad,мотоцикл,motocykl
1685,mount,monter,montar,montieren,устанавливать,uchwyt
1686,mountain,montagne,montaña,Berg,гора,góra
1687,mouse,souris,ratón,Maus,мыши,mysz
1688,mouth,bouche,boca,Mund,рот,usta
1689,move,se déplacer,mover,bewegen,двигаться,przenosić
1690,movement,mouvement,movimiento,Bewegung,движение,ruch
1691,movie,film,película,Film,фильм,film
1692,much,beaucoup,mucho,viel,много,dużo
1693,mud,boue,lodo,Dreck,грязь,błoto
1694,multiple,multiple,múltiple,mehrere,несколько,wiele
1695,multiply,multiplier,multiplicar,multiplizieren,умножить,zwielokrotniać
1696,mum,maman,mamá,Mama,мама,milczący
1697,murder,meurtre,asesinato,Mord,убийство,morderstwo
1698,muscle,muscle,músculo,Muskel,мышца,mięsień
1699,museum,musée,museo,Museum,музей,muzeum
1700,music,musique,música,Musik,музыка,muzyka
1701,musical,musical,musical,Musical,мюзикл,musical
1702,musician,musicien,músico,Musiker,музыкант,muzyk
1703,must,doit,debe,muss,должен,musieć
1704,my,mon,mi,Mein,мой,Mój
1705,myself,moi-même,mí mismo,ich selbst,сам,ja
1706,mysterious,mystérieux,misterioso,mysteriös,загадочный,tajemniczy
1707,mystery,mystère,misterio,Geheimnis,тайна,tajemnica
1708,nail,clou,clavo,Nagel,ноготь,gwóźdź
1709,name,nom,nombre,Name,имя,nazwa
1710,narrative,narratif,narrativo,Erzählung,повествование,narracja
1711,narrow,étroit,angosto,eng,узкий,wąski
1712,nation,nation,nación,Nation,нация,naród
1713,national,national,nacional,national,национальный,krajowy
1714,native,indigène,nativo,einheimisch,родной,rodzinny
1715,natural,naturel,natural,natürlich,естественный,naturalny
1716,naturally,naturellement,naturalmente,natürlich,естественно,naturalnie
1717,nature,nature,naturaleza,Natur,природа,natura
1718,near,près,cerca,nahe,около,w pobliżu
1719,nearly,presque,cerca de,fast,около,prawie
1720,neat,soigné,limpio,sauber,аккуратный,schludny
1721,necessarily,nécessairement,necesariamente,unbedingt,обязательно,koniecznie
1722,necessary,nécessaire,necesario,notwendig,необходимый,niezbędny
1723,neck,cou,cuello,Nacken,шея,szyja
1724,need,besoin,necesidad,brauchen,нуждаться,potrzebować
1725,needle,aiguille,aguja,Nadel,иголка,igła
1726,negative,négatif,negativo,Negativ,отрицательный,negatywny
1727,neighbour,voisin,vecino,Nachbar,сосед,sąsiad
1728,neighbourhood,quartier,vecindario,Nachbarschaft,район,sąsiedztwo
